"pile_id","station_id","label","network","connector_type","power_kw","price_per_kwh","deployment_stage","operational_state","is_synthetic","synthetic_fields","source_name","source_station_record_id","dataset"
"mevnet-938-pile-001","mevnet-938","Bay 01","Shell Recharge","Type 2","7","0.75","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","938","demo"
"mevnet-938-pile-002","mevnet-938","Bay 02","Shell Recharge","Type 2","11","0.9","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","938","demo"
"mevnet-948-pile-001","mevnet-948","Bay 01","ChargeSini","CCS2","50","1.2","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","948","demo"
"mevnet-948-pile-002","mevnet-948","Bay 02","ChargeSini","CCS2","60","1.35","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","948","demo"
"mevnet-984-pile-001","mevnet-984","Bay 01","chargEV","Type 2","7","0.75","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","984","demo"
"mevnet-984-pile-002","mevnet-984","Bay 02","chargEV","Type 2","11","0.9","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","984","demo"
"mevnet-984-pile-003","mevnet-984","Bay 03","chargEV","CCS2","120","1.5","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","984","demo"
"mevnet-984-pile-004","mevnet-984","Bay 04","chargEV","CCS2","180","1.65","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","984","demo"
"mevnet-985-pile-001","mevnet-985","Bay 01","ChargeSini","Type 2","7","0.75","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","985","demo"
"mevnet-985-pile-002","mevnet-985","Bay 02","Shell Recharge","Type 2","11","0.9","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","985","demo"
"mevnet-985-pile-003","mevnet-985","Bay 03","Others","Type 2","22","1.05","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","985","demo"
"mevnet-985-pile-004","mevnet-985","Bay 04","ChargeSini","Type 2","7","0.75","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","985","demo"
"mevnet-985-pile-005","mevnet-985","Bay 05","Shell Recharge","Type 2","11","0.9","existing","reserved","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","985","demo"
"mevnet-985-pile-006","mevnet-985","Bay 06","Others","Type 2","22","1.05","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","985","demo"
"mevnet-985-pile-007","mevnet-985","Bay 07","ChargeSini","CCS2","120","1.5","existing","occupied","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","985","demo"
"mevnet-985-pile-008","mevnet-985","Bay 08","Shell Recharge","CCS2","180","1.65","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","985","demo"
"mevnet-985-pile-009","mevnet-985","Bay 09","Others","CCS2","50","1.2","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","985","demo"
"mevnet-988-pile-001","mevnet-988","Bay 01","ParkEasy","Type 2","7","0.75","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","988","demo"
"mevnet-988-pile-002","mevnet-988","Bay 02","Others","Type 2","11","0.9","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","988","demo"
"mevnet-988-pile-003","mevnet-988","Bay 03","ParkEasy","Type 2","22","1.05","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","988","demo"
"mevnet-988-pile-004","mevnet-988","Bay 04","Others","Type 2","7","0.75","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","988","demo"
"mevnet-988-pile-005","mevnet-988","Bay 05","ParkEasy","Type 2","11","0.9","existing","reserved","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","988","demo"
"mevnet-988-pile-006","mevnet-988","Bay 06","Others","Type 2","22","1.05","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","988","demo"
"mevnet-988-pile-007","mevnet-988","Bay 07","ParkEasy","CCS2","120","1.5","existing","occupied","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","988","demo"
"mevnet-988-pile-008","mevnet-988","Bay 08","Others","CCS2","180","1.65","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","988","demo"
"mevnet-988-pile-009","mevnet-988","Bay 09","ParkEasy","CCS2","50","1.2","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","988","demo"
"mevnet-988-pile-010","mevnet-988","Bay 10","Others","CCS2","60","1.35","existing","reserved","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","988","demo"
"mevnet-988-pile-011","mevnet-988","Bay 11","ParkEasy","CCS2","120","1.5","existing","maintenance","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","988","demo"
"mevnet-988-pile-012","mevnet-988","Bay 12","Others","CCS2","180","1.65","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","988","demo"
"mevnet-990-pile-001","mevnet-990","Bay 01","Gentari","Type 2","7","0.75","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","990","demo"
"mevnet-990-pile-002","mevnet-990","Bay 02","Gentari","Type 2","11","0.9","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","990","demo"
"mevnet-990-pile-003","mevnet-990","Bay 03","Gentari","Type 2","22","1.05","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","990","demo"
"mevnet-990-pile-004","mevnet-990","Bay 04","Gentari","CCS2","180","1.65","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","990","demo"
"mevnet-990-pile-005","mevnet-990","Bay 05","Gentari","CCS2","50","1.2","existing","reserved","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","990","demo"
"mevnet-772-pile-001","mevnet-772","Bay 01","Gentari","Type 2","7","0.75","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","772","demo"
"mevnet-772-pile-002","mevnet-772","Bay 02","Gentari","Type 2","11","0.9","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","772","demo"
"mevnet-772-pile-003","mevnet-772","Bay 03","Gentari","Type 2","22","1.05","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","772","demo"
"mevnet-772-pile-004","mevnet-772","Bay 04","Gentari","CCS2","180","1.65","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","772","demo"
"mevnet-776-pile-001","mevnet-776","Bay 01","Others","Type 2","7","0.75","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","776","demo"
"mevnet-776-pile-002","mevnet-776","Bay 02","Others","Type 2","11","0.9","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","776","demo"
"mevnet-782-pile-001","mevnet-782","Bay 01","Gentari","CCS2","50","1.2","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","782","demo"
"mevnet-782-pile-002","mevnet-782","Bay 02","Gentari","CCS2","60","1.35","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","782","demo"
"mevnet-782-pile-003","mevnet-782","Bay 03","Gentari","CCS2","120","1.5","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","782","demo"
"mevnet-782-pile-004","mevnet-782","Bay 04","Gentari","CCS2","180","1.65","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","782","demo"
"mevnet-816-pile-001","mevnet-816","Bay 01","ChargeSini","CCS2","50","1.2","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","816","demo"
"mevnet-816-pile-002","mevnet-816","Bay 02","ChargeSini","CCS2","60","1.35","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","816","demo"
"mevnet-818-pile-001","mevnet-818","Bay 01","Gentari","CCS2","50","1.2","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","818","demo"
"mevnet-818-pile-002","mevnet-818","Bay 02","Gentari","CCS2","60","1.35","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","818","demo"
"mevnet-818-pile-003","mevnet-818","Bay 03","Gentari","CCS2","120","1.5","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","818","demo"
"mevnet-819-pile-001","mevnet-819","Bay 01","Gentari","CCS2","50","1.2","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","819","demo"
"mevnet-1-pile-001","mevnet-1","Bay 01","TNBX (GoToU)","CCS2","50","1.2","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","1","demo"
"mevnet-1-pile-002","mevnet-1","Bay 02","TNBX (GoToU)","CCS2","60","1.35","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","1","demo"
"mevnet-10-pile-001","mevnet-10","Bay 01","ChargeSini","Type 2","7","0.75","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","10","demo"
"mevnet-10-pile-002","mevnet-10","Bay 02","ChargeSini","Type 2","11","0.9","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","10","demo"
"mevnet-15-pile-001","mevnet-15","Bay 01","TNBX (GoToU)","CCS2","50","1.2","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","15","demo"
"mevnet-15-pile-002","mevnet-15","Bay 02","TNBX (GoToU)","CCS2","60","1.35","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","15","demo"
"mevnet-16-pile-001","mevnet-16","Bay 01","ChargeSini","CCS2","50","1.2","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","16","demo"
"mevnet-16-pile-002","mevnet-16","Bay 02","ChargeSini","CCS2","60","1.35","existing","available","true","connector_type;power_kw;price_per_kwh;operational_state","PLANMalaysia MEVnet station location/counts + ChargeMY assignment prototype","16","demo"
